current_item;next_item;elapsed_time
Verslagjaar;Werkzame personen;1.1570661067962646
Werkzame personen;Netto omzet;1.3400769233703613
Netto omzet;Netto omzet / Specificatie omzet buitenland;1.45408296585083
Netto omzet / Specificatie omzet buitenland;Overige bedrijfsopbrengsten;1.7351000308990479
Overige bedrijfsopbrengsten;Inkoopwaarde / Directe kosten van de omzet;1.4140799045562744
Inkoopwaarde / Directe kosten van de omzet;Inkoopwaarde / Specificatie inkopen grond- en hulpstoffen;1.2260711193084717
Inkoopwaarde / Specificatie inkopen grond- en hulpstoffen;Inkoopwaarde / Nadere specificatie inkopen grond- en hulpstoffen;0.6380360126495361
Inkoopwaarde / Nadere specificatie inkopen grond- en hulpstoffen;Personele Kosten / Personele kosten;0.9710559844970703
Personele Kosten / Personele kosten;Overige bedrijfslasten;2.194124937057495
Overige bedrijfslasten;Onttrekking voorzieningen via de balans;0.9190530776977539
Onttrekking voorzieningen via de balans;Resultatenrekening / Bedrijfsopbrengsten;0.8320469856262207
Resultatenrekening / Bedrijfsopbrengsten;Resultatenrekening / Bedrijfsopbrengsten;0.3480198383331299
Resultatenrekening / Bedrijfsopbrengsten;Resultatenrekening / Bedrijfslasten;0.7500431537628174
Resultatenrekening / Bedrijfslasten;Resultatenrekening / Financiële resultaten;0.8990509510040283
Resultatenrekening / Financiële resultaten;Contact;0.5190300941467285
Contact;Contact;0.6020338535308838
Contact;Afsluit;0.3760221004486084
